case_id,object_type,event_id,activity,timestamp
co1,Customer Order,reg_co1,Register Customer Order,2023-05-22T11:54:42.000Z
co2,Customer Order,reg_co2,Register Customer Order,2023-05-22T18:33:30.000Z
co3,Customer Order,reg_co3,Register Customer Order,2023-05-23T12:14:57.000Z
co4,Customer Order,reg_co4,Register Customer Order,2023-05-23T18:34:15.000Z
co5,Customer Order,reg_co5,Register Customer Order,2023-05-24T12:16:04.000Z
co6,Customer Order,reg_co6,Register Customer Order,2023-05-24T18:37:36.000Z
co7,Customer Order,reg_co7,Register Customer Order,2023-05-25T12:21:06.000Z
co8,Customer Order,reg_co8,Register Customer Order,2023-05-25T18:52:42.000Z
co9,Customer Order,reg_co9,Register Customer Order,2023-05-26T15:01:20.000Z
co10,Customer Order,reg_co10,Register Customer Order,2023-05-29T09:50:58.000Z
co11,Customer Order,reg_co11,Register Customer Order,2023-05-29T16:06:38.000Z
co12,Customer Order,reg_co12,Register Customer Order,2023-05-30T10:07:58.000Z
co13,Customer Order,reg_co13,Register Customer Order,2023-05-30T15:40:38.000Z
co14,Customer Order,reg_co14,Register Customer Order,2023-05-31T10:15:58.000Z
co15,Customer Order,reg_co15,Register Customer Order,2023-05-31T15:56:38.000Z
co16,Customer Order,reg_co16,Register Customer Order,2023-06-01T10:47:58.000Z
co17,Customer Order,reg_co17,Register Customer Order,2023-06-01T17:00:38.000Z
co18,Customer Order,reg_co18,Register Customer Order,2023-06-02T12:49:13.000Z
co19,Customer Order,reg_co19,Register Customer Order,2023-06-05T09:06:22.000Z
co20,Customer Order,reg_co20,Register Customer Order,2023-06-05T14:37:26.000Z
co21,Customer Order,reg_co21,Register Customer Order,2023-06-06T09:09:34.000Z
co22,Customer Order,reg_co22,Register Customer Order,2023-06-06T14:43:50.000Z
co23,Customer Order,reg_co23,Register Customer Order,2023-06-07T09:22:22.000Z
co24,Customer Order,reg_co24,Register Customer Order,2023-06-07T15:09:26.000Z
co25,Customer Order,reg_co25,Register Customer Order,2023-06-08T09:13:34.000Z
co26,Customer Order,reg_co26,Register Customer Order,2023-06-08T14:51:50.000Z
co27,Customer Order,reg_co27,Register Customer Order,2023-06-09T10:36:53.000Z
co28,Customer Order,reg_co28,Register Customer Order,2023-06-12T07:05:55.000Z
co29,Customer Order,reg_co29,Register Customer Order,2023-06-12T12:36:32.000Z
co30,Customer Order,reg_co30,Register Customer Order,2023-06-13T06:39:00.000Z
co31,Customer Order,reg_co31,Register Customer Order,2023-06-13T12:53:12.000Z
co32,Customer Order,reg_co32,Register Customer Order,2023-06-14T07:29:00.000Z
co33,Customer Order,reg_co33,Register Customer Order,2023-06-14T13:22:42.000Z
co34,Customer Order,reg_co34,Register Customer Order,2023-06-15T07:40:06.000Z
co35,Customer Order,reg_co35,Register Customer Order,2023-06-15T13:44:54.000Z
co36,Customer Order,reg_co36,Register Customer Order,2023-06-16T08:54:19.000Z
co37,Customer Order,reg_co37,Register Customer Order,2023-06-16T17:32:29.000Z
co38,Customer Order,reg_co38,Register Customer Order,2023-06-19T11:56:33.000Z
co39,Customer Order,reg_co39,Register Customer Order,2023-06-19T18:39:03.000Z
co40,Customer Order,reg_co40,Register Customer Order,2023-06-20T12:23:16.000Z
co41,Customer Order,reg_co41,Register Customer Order,2023-06-20T18:59:12.000Z
co42,Customer Order,reg_co42,Register Customer Order,2023-06-21T12:53:30.000Z
co43,Customer Order,reg_co43,Register Customer Order,2023-06-22T07:29:54.000Z
co44,Customer Order,reg_co44,Register Customer Order,2023-06-22T13:24:30.000Z
co45,Customer Order,reg_co45,Register Customer Order,2023-06-23T08:04:47.000Z
co46,Customer Order,reg_co46,Register Customer Order,2023-06-23T15:53:25.000Z
co47,Customer Order,reg_co47,Register Customer Order,2023-06-26T11:19:30.000Z
co48,Customer Order,reg_co48,Register Customer Order,2023-06-26T17:03:42.000Z
co49,Customer Order,reg_co49,Register Customer Order,2023-06-27T11:00:15.000Z
co50,Customer Order,reg_co50,Register Customer Order,2023-06-27T16:25:12.000Z
co51,Customer Order,reg_co51,Register Customer Order,2023-06-28T10:45:06.000Z
co52,Customer Order,reg_co52,Register Customer Order,2023-06-28T16:54:54.000Z
co53,Customer Order,reg_co53,Register Customer Order,2023-06-29T11:44:30.000Z
co54,Customer Order,reg_co54,Register Customer Order,2023-06-29T18:02:54.000Z
co55,Customer Order,reg_co55,Register Customer Order,2023-06-30T13:35:58.000Z
co56,Customer Order,reg_co56,Register Customer Order,2023-07-03T09:25:50.000Z
co57,Customer Order,reg_co57,Register Customer Order,2023-07-03T15:16:22.000Z
co58,Customer Order,reg_co58,Register Customer Order,2023-07-04T09:27:26.000Z
co59,Customer Order,reg_co59,Register Customer Order,2023-07-04T15:19:34.000Z
co60,Customer Order,reg_co60,Register Customer Order,2023-07-05T09:33:50.000Z
co61,Customer Order,reg_co61,Register Customer Order,2023-07-05T15:32:22.000Z
