case_id,object_type,event_id,activity,timestamp
customer_705,Customer,event_1,Receive Customer Order,2024-10-02T07:55:15.348555
order_1,Order,event_1,Receive Customer Order,2024-10-02T07:55:15.348555
order_1,Order,event_2,Validate Customer Order,2024-10-02T07:56:15.348555
customer_705,Customer,event_3,Perform Credit Check,2024-10-02T07:57:15.348555
order_1,Order,event_3,Perform Credit Check,2024-10-02T07:57:15.348555
customer_705,Customer,event_4,Approve Order,2024-10-02T07:58:15.348555
order_1,Order,event_4,Approve Order,2024-10-02T07:58:15.348555
order_1,Order,event_5,Schedule Order Fulfillment,2024-10-02T07:59:15.348555
order_1,Order,event_6,Generate Pick List,2024-10-02T08:00:15.348555
product_144,Product,event_6,Generate Pick List,2024-10-02T08:00:15.348555
product_90,Product,event_6,Generate Pick List,2024-10-02T08:00:15.348555
product_17,Product,event_6,Generate Pick List,2024-10-02T08:00:15.348555
product_179,Product,event_6,Generate Pick List,2024-10-02T08:00:15.348555
product_144,Product,event_7,Pick Items,2024-10-02T08:01:15.348555
product_90,Product,event_7,Pick Items,2024-10-02T08:01:15.348555
product_17,Product,event_7,Pick Items,2024-10-02T08:01:15.348555
product_179,Product,event_7,Pick Items,2024-10-02T08:01:15.348555
order_1,Order,event_8,Pack Items,2024-10-02T08:02:15.348555
order_1,Order,event_9,Generate Shipping Label,2024-10-02T08:03:15.348555
shipment_1,Shipment,event_9,Generate Shipping Label,2024-10-02T08:03:15.348555
order_1,Order,event_10,Ship Order,2024-10-02T08:04:15.348555
shipment_1,Shipment,event_10,Ship Order,2024-10-02T08:04:15.348555
product_144,Product,event_11,Update Inventory,2024-10-02T08:05:15.348555
product_90,Product,event_11,Update Inventory,2024-10-02T08:05:15.348555
product_17,Product,event_11,Update Inventory,2024-10-02T08:05:15.348555
product_179,Product,event_11,Update Inventory,2024-10-02T08:05:15.348555
invoice_1,Invoice,event_12,Generate Invoice,2024-10-02T08:06:15.348555
order_1,Order,event_12,Generate Invoice,2024-10-02T08:06:15.348555
customer_705,Customer,event_13,Send Invoice to Customer,2024-10-02T08:07:15.348555
invoice_1,Invoice,event_13,Send Invoice to Customer,2024-10-02T08:07:15.348555
invoice_1,Invoice,event_14,Receive Payment,2024-10-12T08:08:15.348555
payment_1,Payment,event_14,Receive Payment,2024-10-12T08:08:15.348555
invoice_1,Invoice,event_15,Apply Payment,2024-10-12T08:09:15.348555
payment_1,Payment,event_15,Apply Payment,2024-10-12T08:09:15.348555
customer_765,Customer,event_16,Receive Customer Order,2024-10-12T08:10:15.348555
order_2,Order,event_16,Receive Customer Order,2024-10-12T08:10:15.348555
order_2,Order,event_17,Validate Customer Order,2024-10-12T08:11:15.348555
customer_765,Customer,event_18,Perform Credit Check,2024-10-12T08:12:15.348555
order_2,Order,event_18,Perform Credit Check,2024-10-12T08:12:15.348555
customer_765,Customer,event_19,Approve Order,2024-10-12T08:13:15.348555
order_2,Order,event_19,Approve Order,2024-10-12T08:13:15.348555
order_2,Order,event_20,Schedule Order Fulfillment,2024-10-12T08:14:15.348555
order_2,Order,event_21,Generate Pick List,2024-10-12T08:15:15.348555
product_128,Product,event_21,Generate Pick List,2024-10-12T08:15:15.348555
product_128,Product,event_22,Pick Items,2024-10-12T08:16:15.348555
order_2,Order,event_23,Pack Items,2024-10-12T08:17:15.348555
order_2,Order,event_24,Generate Shipping Label,2024-10-12T08:18:15.348555
shipment_2,Shipment,event_24,Generate Shipping Label,2024-10-12T08:18:15.348555
order_2,Order,event_25,Ship Order,2024-10-12T08:19:15.348555
shipment_2,Shipment,event_25,Ship Order,2024-10-12T08:19:15.348555
product_128,Product,event_26,Update Inventory,2024-10-12T08:20:15.348555
invoice_2,Invoice,event_27,Generate Invoice,2024-10-12T08:21:15.348555
order_2,Order,event_27,Generate Invoice,2024-10-12T08:21:15.348555
customer_765,Customer,event_28,Send Invoice to Customer,2024-10-12T08:22:15.348555
invoice_2,Invoice,event_28,Send Invoice to Customer,2024-10-12T08:22:15.348555
invoice_2,Invoice,event_29,Receive Payment,2024-10-16T08:23:15.348555
payment_2,Payment,event_29,Receive Payment,2024-10-16T08:23:15.348555
invoice_2,Invoice,event_30,Apply Payment,2024-10-16T08:24:15.348555
payment_2,Payment,event_30,Apply Payment,2024-10-16T08:24:15.348555
customer_329,Customer,event_31,Receive Customer Order,2024-10-16T08:25:15.348555
order_3,Order,event_31,Receive Customer Order,2024-10-16T08:25:15.348555
order_3,Order,event_32,Validate Customer Order,2024-10-16T08:26:15.348555
customer_329,Customer,event_33,Perform Credit Check,2024-10-16T08:27:15.348555
order_3,Order,event_33,Perform Credit Check,2024-10-16T08:27:15.348555
customer_329,Customer,event_34,Approve Order,2024-10-16T08:28:15.348555
order_3,Order,event_34,Approve Order,2024-10-16T08:28:15.348555
order_3,Order,event_35,Schedule Order Fulfillment,2024-10-16T08:29:15.348555
order_3,Order,event_36,Generate Pick List,2024-10-16T08:30:15.348555
product_229,Product,event_36,Generate Pick List,2024-10-16T08:30:15.348555
product_169,Product,event_36,Generate Pick List,2024-10-16T08:30:15.348555
product_229,Product,event_37,Pick Items,2024-10-16T08:31:15.348555
product_169,Product,event_37,Pick Items,2024-10-16T08:31:15.348555
order_3,Order,event_38,Pack Items,2024-10-16T08:32:15.348555
order_3,Order,event_39,Generate Shipping Label,2024-10-16T08:33:15.348555
shipment_3,Shipment,event_39,Generate Shipping Label,2024-10-16T08:33:15.348555
order_3,Order,event_40,Ship Order,2024-10-16T08:34:15.348555
shipment_3,Shipment,event_40,Ship Order,2024-10-16T08:34:15.348555
product_229,Product,event_41,Update Inventory,2024-10-16T08:35:15.348555
product_169,Product,event_41,Update Inventory,2024-10-16T08:35:15.348555
invoice_3,Invoice,event_42,Generate Invoice,2024-10-16T08:36:15.348555
order_3,Order,event_42,Generate Invoice,2024-10-16T08:36:15.348555
customer_329,Customer,event_43,Send Invoice to Customer,2024-10-16T08:37:15.348555
invoice_3,Invoice,event_43,Send Invoice to Customer,2024-10-16T08:37:15.348555
