case_id,object_type,event_id,activity,timestamp
o_machine_splitter01,Machine,e_split_1,SplitSteelSheet,2023-04-03T07:38:46+00:00
o_steelcoil_4,SteelCoil,e_split_1,SplitSteelSheet,2023-04-03T07:38:46+00:00
o_steelsheet_1,SteelSheet,e_split_1,SplitSteelSheet,2023-04-03T07:38:46+00:00
o_workstation_1,Workstation,e_split_1,SplitSteelSheet,2023-04-03T07:38:46+00:00
o_machine_splitter01,Machine,e_split_2,SplitSteelSheet,2023-04-03T07:38:53+00:00
o_steelcoil_4,SteelCoil,e_split_2,SplitSteelSheet,2023-04-03T07:38:53+00:00
o_steelsheet_2,SteelSheet,e_split_2,SplitSteelSheet,2023-04-03T07:38:53+00:00
o_workstation_1,Workstation,e_split_2,SplitSteelSheet,2023-04-03T07:38:53+00:00
o_machine_splitter01,Machine,e_split_3,SplitSteelSheet,2023-04-03T07:38:59+00:00
o_steelcoil_4,SteelCoil,e_split_3,SplitSteelSheet,2023-04-03T07:38:59+00:00
o_steelsheet_3,SteelSheet,e_split_3,SplitSteelSheet,2023-04-03T07:38:59+00:00
o_workstation_1,Workstation,e_split_3,SplitSteelSheet,2023-04-03T07:38:59+00:00
o_machine_splitter01,Machine,e_split_4,SplitSteelSheet,2023-04-03T07:39:06+00:00
o_steelcoil_4,SteelCoil,e_split_4,SplitSteelSheet,2023-04-03T07:39:06+00:00
o_steelsheet_4,SteelSheet,e_split_4,SplitSteelSheet,2023-04-03T07:39:06+00:00
o_workstation_1,Workstation,e_split_4,SplitSteelSheet,2023-04-03T07:39:06+00:00
o_machine_splitter01,Machine,e_split_5,SplitSteelSheet,2023-04-03T07:39:12+00:00
o_steelcoil_4,SteelCoil,e_split_5,SplitSteelSheet,2023-04-03T07:39:12+00:00
o_steelsheet_5,SteelSheet,e_split_5,SplitSteelSheet,2023-04-03T07:39:12+00:00
o_workstation_1,Workstation,e_split_5,SplitSteelSheet,2023-04-03T07:39:12+00:00
o_machine_splitter01,Machine,e_split_6,SplitSteelSheet,2023-04-03T07:39:19+00:00
o_steelcoil_4,SteelCoil,e_split_6,SplitSteelSheet,2023-04-03T07:39:19+00:00
o_steelsheet_6,SteelSheet,e_split_6,SplitSteelSheet,2023-04-03T07:39:19+00:00
o_workstation_1,Workstation,e_split_6,SplitSteelSheet,2023-04-03T07:39:19+00:00
o_machine_splitter01,Machine,e_split_7,SplitSteelSheet,2023-04-03T07:39:26+00:00
o_steelcoil_4,SteelCoil,e_split_7,SplitSteelSheet,2023-04-03T07:39:26+00:00
o_steelsheet_7,SteelSheet,e_split_7,SplitSteelSheet,2023-04-03T07:39:26+00:00
o_workstation_1,Workstation,e_split_7,SplitSteelSheet,2023-04-03T07:39:26+00:00
o_machine_splitter01,Machine,e_split_8,SplitSteelSheet,2023-04-03T07:39:33+00:00
o_steelcoil_4,SteelCoil,e_split_8,SplitSteelSheet,2023-04-03T07:39:33+00:00
o_steelsheet_8,SteelSheet,e_split_8,SplitSteelSheet,2023-04-03T07:39:33+00:00
o_workstation_1,Workstation,e_split_8,SplitSteelSheet,2023-04-03T07:39:33+00:00
o_machine_splitter01,Machine,e_split_9,SplitSteelSheet,2023-04-03T07:39:39+00:00
o_steelcoil_4,SteelCoil,e_split_9,SplitSteelSheet,2023-04-03T07:39:39+00:00
o_steelsheet_9,SteelSheet,e_split_9,SplitSteelSheet,2023-04-03T07:39:39+00:00
o_workstation_1,Workstation,e_split_9,SplitSteelSheet,2023-04-03T07:39:39+00:00
o_machine_oven01,Machine,e_heat_1,HeatSteelSheet,2023-04-03T07:39:42+00:00
o_steelsheet_1,SteelSheet,e_heat_1,HeatSteelSheet,2023-04-03T07:39:42+00:00
o_workstation_1,Workstation,e_heat_1,HeatSteelSheet,2023-04-03T07:39:42+00:00
o_machine_splitter01,Machine,e_split_10,SplitSteelSheet,2023-04-03T07:39:46+00:00
o_steelcoil_4,SteelCoil,e_split_10,SplitSteelSheet,2023-04-03T07:39:46+00:00
o_steelsheet_10,SteelSheet,e_split_10,SplitSteelSheet,2023-04-03T07:39:46+00:00
o_workstation_1,Workstation,e_split_10,SplitSteelSheet,2023-04-03T07:39:46+00:00
o_machine_oven01,Machine,e_heat_2,HeatSteelSheet,2023-04-03T07:39:52+00:00
o_steelsheet_2,SteelSheet,e_heat_2,HeatSteelSheet,2023-04-03T07:39:52+00:00
o_workstation_1,Workstation,e_heat_2,HeatSteelSheet,2023-04-03T07:39:52+00:00
o_machine_splitter01,Machine,e_split_11,SplitSteelSheet,2023-04-03T07:39:53+00:00
o_steelcoil_4,SteelCoil,e_split_11,SplitSteelSheet,2023-04-03T07:39:53+00:00
o_steelsheet_11,SteelSheet,e_split_11,SplitSteelSheet,2023-04-03T07:39:53+00:00
o_workstation_1,Workstation,e_split_11,SplitSteelSheet,2023-04-03T07:39:53+00:00
o_machine_oven01,Machine,e_heat_3,HeatSteelSheet,2023-04-03T07:39:58+00:00
o_steelsheet_3,SteelSheet,e_heat_3,HeatSteelSheet,2023-04-03T07:39:58+00:00
o_workstation_1,Workstation,e_heat_3,HeatSteelSheet,2023-04-03T07:39:58+00:00
o_machine_splitter01,Machine,e_split_12,SplitSteelSheet,2023-04-03T07:39:59+00:00
o_steelcoil_4,SteelCoil,e_split_12,SplitSteelSheet,2023-04-03T07:39:59+00:00
o_steelsheet_12,SteelSheet,e_split_12,SplitSteelSheet,2023-04-03T07:39:59+00:00
o_workstation_1,Workstation,e_split_12,SplitSteelSheet,2023-04-03T07:39:59+00:00
o_machine_oven01,Machine,e_heat_4,HeatSteelSheet,2023-04-03T07:40:00+00:00
o_steelsheet_4,SteelSheet,e_heat_4,HeatSteelSheet,2023-04-03T07:40:00+00:00
o_workstation_1,Workstation,e_heat_4,HeatSteelSheet,2023-04-03T07:40:00+00:00
o_machine_splitter01,Machine,e_split_13,SplitSteelSheet,2023-04-03T07:40:06+00:00
o_steelcoil_4,SteelCoil,e_split_13,SplitSteelSheet,2023-04-03T07:40:06+00:00
o_steelsheet_13,SteelSheet,e_split_13,SplitSteelSheet,2023-04-03T07:40:06+00:00
o_workstation_1,Workstation,e_split_13,SplitSteelSheet,2023-04-03T07:40:06+00:00
o_machine_oven01,Machine,e_heat_5,HeatSteelSheet,2023-04-03T07:40:10+00:00
o_steelsheet_5,SteelSheet,e_heat_5,HeatSteelSheet,2023-04-03T07:40:10+00:00
o_workstation_1,Workstation,e_heat_5,HeatSteelSheet,2023-04-03T07:40:10+00:00
o_machine_splitter01,Machine,e_split_14,SplitSteelSheet,2023-04-03T07:40:13+00:00
o_steelcoil_4,SteelCoil,e_split_14,SplitSteelSheet,2023-04-03T07:40:13+00:00
o_steelsheet_14,SteelSheet,e_split_14,SplitSteelSheet,2023-04-03T07:40:13+00:00
o_workstation_1,Workstation,e_split_14,SplitSteelSheet,2023-04-03T07:40:13+00:00
o_machine_oven01,Machine,e_heat_6,HeatSteelSheet,2023-04-03T07:40:15+00:00
o_steelsheet_6,SteelSheet,e_heat_6,HeatSteelSheet,2023-04-03T07:40:15+00:00
o_workstation_1,Workstation,e_heat_6,HeatSteelSheet,2023-04-03T07:40:15+00:00
o_machine_splitter01,Machine,e_split_15,SplitSteelSheet,2023-04-03T07:40:20+00:00
o_steelcoil_4,SteelCoil,e_split_15,SplitSteelSheet,2023-04-03T07:40:20+00:00
o_steelsheet_15,SteelSheet,e_split_15,SplitSteelSheet,2023-04-03T07:40:20+00:00
o_workstation_1,Workstation,e_split_15,SplitSteelSheet,2023-04-03T07:40:20+00:00
o_machine_oven01,Machine,e_heat_7,HeatSteelSheet,2023-04-03T07:40:25+00:00
o_steelsheet_7,SteelSheet,e_heat_7,HeatSteelSheet,2023-04-03T07:40:25+00:00
o_workstation_1,Workstation,e_heat_7,HeatSteelSheet,2023-04-03T07:40:25+00:00
o_machine_splitter01,Machine,e_split_16,SplitSteelSheet,2023-04-03T07:40:26+00:00
o_steelcoil_4,SteelCoil,e_split_16,SplitSteelSheet,2023-04-03T07:40:26+00:00
o_steelsheet_16,SteelSheet,e_split_16,SplitSteelSheet,2023-04-03T07:40:26+00:00
o_workstation_1,Workstation,e_split_16,SplitSteelSheet,2023-04-03T07:40:26+00:00
o_machine_oven01,Machine,e_heat_8,HeatSteelSheet,2023-04-03T07:40:30+00:00
o_steelsheet_8,SteelSheet,e_heat_8,HeatSteelSheet,2023-04-03T07:40:30+00:00
o_workstation_1,Workstation,e_heat_8,HeatSteelSheet,2023-04-03T07:40:30+00:00
o_machine_splitter01,Machine,e_split_17,SplitSteelSheet,2023-04-03T07:40:33+00:00
o_steelcoil_4,SteelCoil,e_split_17,SplitSteelSheet,2023-04-03T07:40:33+00:00
o_steelsheet_17,SteelSheet,e_split_17,SplitSteelSheet,2023-04-03T07:40:33+00:00
o_workstation_1,Workstation,e_split_17,SplitSteelSheet,2023-04-03T07:40:33+00:00
o_machine_oven01,Machine,e_heat_9,HeatSteelSheet,2023-04-03T07:40:34+00:00
o_steelsheet_9,SteelSheet,e_heat_9,HeatSteelSheet,2023-04-03T07:40:34+00:00
o_workstation_1,Workstation,e_heat_9,HeatSteelSheet,2023-04-03T07:40:34+00:00
o_machine_splitter01,Machine,e_split_18,SplitSteelSheet,2023-04-03T07:40:40+00:00
o_steelcoil_4,SteelCoil,e_split_18,SplitSteelSheet,2023-04-03T07:40:40+00:00
o_steelsheet_18,SteelSheet,e_split_18,SplitSteelSheet,2023-04-03T07:40:40+00:00
o_workstation_1,Workstation,e_split_18,SplitSteelSheet,2023-04-03T07:40:40+00:00
o_machine_oven01,Machine,e_heat_10,HeatSteelSheet,2023-04-03T07:40:45+00:00
o_steelsheet_10,SteelSheet,e_heat_10,HeatSteelSheet,2023-04-03T07:40:45+00:00
o_workstation_1,Workstation,e_heat_10,HeatSteelSheet,2023-04-03T07:40:45+00:00
o_machine_splitter01,Machine,e_split_19,SplitSteelSheet,2023-04-03T07:40:47+00:00
o_steelcoil_4,SteelCoil,e_split_19,SplitSteelSheet,2023-04-03T07:40:47+00:00
o_steelsheet_19,SteelSheet,e_split_19,SplitSteelSheet,2023-04-03T07:40:47+00:00
o_workstation_1,Workstation,e_split_19,SplitSteelSheet,2023-04-03T07:40:47+00:00
o_machine_oven01,Machine,e_heat_11,HeatSteelSheet,2023-04-03T07:40:50+00:00
o_steelsheet_11,SteelSheet,e_heat_11,HeatSteelSheet,2023-04-03T07:40:50+00:00
o_workstation_1,Workstation,e_heat_11,HeatSteelSheet,2023-04-03T07:40:50+00:00
o_machine_splitter01,Machine,e_split_20,SplitSteelSheet,2023-04-03T07:40:53+00:00
