case_id,object_type,event_id,activity,timestamp
purchase_order:2,purchase_order,event:52,Approve Purchase Order,2022-04-07T17:28:00.000Z
quotation:0,quotation,event:52,Approve Purchase Order,2022-04-07T17:28:00.000Z
purchase_order:3,purchase_order,event:62,Approve Purchase Order,2022-04-08T22:07:00.000Z
quotation:0,quotation,event:62,Approve Purchase Order,2022-04-08T22:07:00.000Z
purchase_order:4,purchase_order,event:64,Approve Purchase Order,2022-04-09T08:41:00.000Z
quotation:1,quotation,event:64,Approve Purchase Order,2022-04-09T08:41:00.000Z
purchase_order:7,purchase_order,event:87,Approve Purchase Order,2022-04-11T11:00:00.000Z
quotation:3,quotation,event:87,Approve Purchase Order,2022-04-11T11:00:00.000Z
purchase_order:8,purchase_order,event:100,Approve Purchase Order,2022-04-11T19:13:00.000Z
quotation:3,quotation,event:100,Approve Purchase Order,2022-04-11T19:13:00.000Z
purchase_order:6,purchase_order,event:111,Approve Purchase Order,2022-04-12T12:09:00.000Z
quotation:4,quotation,event:111,Approve Purchase Order,2022-04-12T12:09:00.000Z
purchase_order:0,purchase_order,event:112,Approve Purchase Order,2022-04-12T20:15:00.000Z
quotation:2,quotation,event:112,Approve Purchase Order,2022-04-12T20:15:00.000Z
purchase_order:9,purchase_order,event:124,Approve Purchase Order,2022-04-13T11:46:00.000Z
quotation:5,quotation,event:124,Approve Purchase Order,2022-04-13T11:46:00.000Z
purchase_order:1,purchase_order,event:154,Approve Purchase Order,2022-04-15T11:53:00.000Z
quotation:2,quotation,event:154,Approve Purchase Order,2022-04-15T11:53:00.000Z
purchase_order:13,purchase_order,event:169,Approve Purchase Order,2022-04-16T00:52:00.000Z
quotation:7,quotation,event:169,Approve Purchase Order,2022-04-16T00:52:00.000Z
purchase_order:10,purchase_order,event:172,Approve Purchase Order,2022-04-16T09:41:00.000Z
quotation:6,quotation,event:172,Approve Purchase Order,2022-04-16T09:41:00.000Z
purchase_order:5,purchase_order,event:174,Approve Purchase Order,2022-04-16T10:56:00.000Z
quotation:4,quotation,event:174,Approve Purchase Order,2022-04-16T10:56:00.000Z
purchase_order:15,purchase_order,event:220,Approve Purchase Order,2022-04-18T17:22:00.000Z
quotation:9,quotation,event:220,Approve Purchase Order,2022-04-18T17:22:00.000Z
purchase_order:16,purchase_order,event:248,Approve Purchase Order,2022-04-20T14:08:00.000Z
quotation:12,quotation,event:248,Approve Purchase Order,2022-04-20T14:08:00.000Z
purchase_order:21,purchase_order,event:254,Approve Purchase Order,2022-04-20T21:12:00.000Z
quotation:14,quotation,event:254,Approve Purchase Order,2022-04-20T21:12:00.000Z
purchase_order:20,purchase_order,event:288,Approve Purchase Order,2022-04-23T05:21:00.000Z
quotation:17,quotation,event:288,Approve Purchase Order,2022-04-23T05:21:00.000Z
purchase_order:14,purchase_order,event:289,Approve Purchase Order,2022-04-23T11:34:00.000Z
quotation:7,quotation,event:289,Approve Purchase Order,2022-04-23T11:34:00.000Z
purchase_order:18,purchase_order,event:290,Approve Purchase Order,2022-04-23T11:44:00.000Z
quotation:11,quotation,event:290,Approve Purchase Order,2022-04-23T11:44:00.000Z
purchase_order:12,purchase_order,event:296,Approve Purchase Order,2022-04-24T14:34:00.000Z
quotation:8,quotation,event:296,Approve Purchase Order,2022-04-24T14:34:00.000Z
purchase_order:17,purchase_order,event:298,Approve Purchase Order,2022-04-24T18:12:00.000Z
quotation:10,quotation,event:298,Approve Purchase Order,2022-04-24T18:12:00.000Z
purchase_order:23,purchase_order,event:344,Approve Purchase Order,2022-04-25T19:02:00.000Z
